"","timedelta","n_tokens_title","n_tokens_content","n_unique_tokens","n_non_stop_words","n_non_stop_unique_tokens","num_hrefs","num_self_hrefs","num_imgs","num_videos","average_token_length","num_keywords","data_channel_is_lifestyle","data_channel_is_entertainment","data_channel_is_bus","data_channel_is_socmed","data_channel_is_tech","data_channel_is_world","kw_min_min","kw_max_min","kw_avg_min","kw_min_max","kw_max_max","kw_avg_max","kw_min_avg","kw_max_avg","kw_avg_avg","self_reference_min_shares","self_reference_max_shares","self_reference_avg_sharess","weekday_is_monday","weekday_is_tuesday","weekday_is_wednesday","weekday_is_thursday","weekday_is_friday","weekday_is_saturday","weekday_is_sunday","is_weekend","LDA_00","LDA_01","LDA_02","LDA_03","LDA_04","global_subjectivity","global_sentiment_polarity","global_rate_positive_words","global_rate_negative_words","rate_positive_words","rate_negative_words","avg_positive_polarity","min_positive_polarity","max_positive_polarity","avg_negative_polarity","min_negative_polarity","max_negative_polarity","title_subjectivity","title_sentiment_polarity","abs_title_subjectivity","abs_title_sentiment_polarity","shares"
"weekday_is_saturday","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.17 |  0","","","","","","","","","","","","","","","","","","","","","","0.015082249417901"
"weekday_is_sunday","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.16 |  0","","","","","","","","","","","","","","","","","","","","","","0.00822953879833221"
"is_weekend","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0169581845402718"
"LDA_00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-17.93 |  0","-25.56 |  0","-27.46 |  0","-24.34 |  0","","10.71 |  0","14.69 |  0","","16.17 |  0","-11.37 |  0","","-10.4 |  0","","","","","","","","","-0.00379306334070861"
"LDA_01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-23.17 |  0","-12.17 |  0","-24.63 |  0","","","","","","","","","","-10.29 |  0","","","","","","","-0.0101828733459115"
"LDA_02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-32.86 |  0","-23.17 |  0","-17.86 |  0","-21.87 |  0","-22.96 |  0","","-13.98 |  0","18.94 |  0","-13.83 |  0","","-10.93 |  0","","","","","","","","-0.0591627284884453"
"LDA_03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-35.79 |  0","","","","","-16.9 |  0","","","10.88 |  0","","-11.44 |  0","","","12.91 |  0","","","12.21 |  0","0.0837714895606041"
"LDA_04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.74 |  0","","","17.26 |  0","-10.95 |  0","","","","12.01 |  0","10.42 |  0","","","","","","-0.0166219379752874"
"global_subjectivity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.94 |  0","46.71 |  0","25.32 |  0","48.75 |  0","13.29 |  0","63.17 |  0","24.4 |  0","51.88 |  0","-44.32 |  0","-35.01 |  0","-22.32 |  0","11.41 |  0","","","","0.0316040627658367"
"global_sentiment_polarity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.07 |  0","-47.2 |  0","72.78 |  0","-65.07 |  0","49.67 |  0","","43.09 |  0","22.98 |  0","28.54 |  0","","","23.83 |  0","","","0.00416292902082205"
"global_rate_positive_words","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.65 |  0","62.86 |  0","-33.01 |  0","33.13 |  0","-10.71 |  0","47.33 |  0","-13.18 |  0","-11.54 |  0","","10.99 |  0","13.65 |  0","-13.73 |  0","10.34 |  0","0.000543234404176474"
"global_rate_negative_words","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-39.87 |  0","77.96 |  0","19.3 |  0","","18.29 |  0","-35.22 |  0","-47.85 |  0","","","-13.82 |  0","","","0.00661517307162285"
"rate_positive_words","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-53.1 |  0","41.27 |  0","","45.1 |  0","","","-19.92 |  0","","14.45 |  0","","","-0.0132413040846586"
"rate_negative_words","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.57 |  0","19.46 |  0","","-34.69 |  0","-45.25 |  0","","","-18.58 |  0","","","-0.0051831379532814"
"avg_positive_polarity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.7 |  0","70.36 |  0","-27.57 |  0","-23.22 |  0","-13.98 |  0","","","","10.12 |  0","0.0121421990916133"
"min_positive_polarity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-18.4 |  0","","","","","-4.00951721530873e-05"
"max_positive_polarity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-26.88 |  0","-36.09 |  0","","","","","","0.0100677944719791"
"avg_negative_polarity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.89 |  0","58.01 |  0","","","","","-0.0320289097726345"
"min_negative_polarity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0192973744124174"
"max_negative_polarity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.0193002112209797"
"title_subjectivity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.21 |  0","-48.72 |  0","71.45 |  0","0.0219666827470064"
"title_sentiment_polarity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-24.01 |  0","41.02 |  0","0.0127718728035688"
"abs_title_subjectivity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-40.03 |  0","0.00148099812213331"
"abs_title_sentiment_polarity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0271352306008339"
"shares","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
