"","timedelta","n_tokens_title","n_tokens_content","n_unique_tokens","n_non_stop_words","n_non_stop_unique_tokens","num_hrefs","num_self_hrefs","num_imgs","num_videos","average_token_length","num_keywords","data_channel_is_lifestyle","data_channel_is_entertainment","data_channel_is_bus","data_channel_is_socmed","data_channel_is_tech","data_channel_is_world","kw_min_min","kw_max_min","kw_avg_min","kw_min_max","kw_max_max","kw_avg_max","kw_min_avg","kw_max_avg","kw_avg_avg","self_reference_min_shares","self_reference_max_shares","self_reference_avg_sharess","weekday_is_monday","weekday_is_tuesday","weekday_is_wednesday","weekday_is_thursday","weekday_is_friday","weekday_is_saturday","weekday_is_sunday","is_weekend","LDA_00","LDA_01","LDA_02","LDA_03","LDA_04","global_subjectivity","global_sentiment_polarity","global_rate_positive_words","global_rate_negative_words","rate_positive_words","rate_negative_words","avg_positive_polarity","min_positive_polarity","max_positive_polarity","avg_negative_polarity","min_negative_polarity","max_negative_polarity","title_subjectivity","title_sentiment_polarity","abs_title_subjectivity","abs_title_sentiment_polarity","shares"
"kw_min_min","","","","","","","","","","","","","","","","","","","","1.15 |  2.16510817384157","11.28 |  0","-6.24 |  0","-85.72 |  0","-50.27 |  0","-13.71 |  0","-7.36 |  0","-18.4 |  0","-2.53 |  4.47682675819294e-05","-4.16 |  0","-3.95 |  3.5527136788005e-13","","-1 |  4.75041026500502","","","","-1.23 |  1.46554638296381","","","3.09 |  7.66629648651929e-08","","-7.37 |  0","","4.5 |  0","3.85 |  1.62092561595273e-12","7.55 |  0","9.91 |  0","","8.16 |  0","-4.55 |  0","4.06 |  4.44089209850063e-14","2.29 |  0.000528384886888666","1.86 |  0.02059705219839","1.73 |  0.0566606911075018","5.03 |  0","-2.72 |  6.27097567207358e-06","","3.29 |  5.65725244427995e-09","","",""
"kw_max_min","","","","","","","","","","","","","","","","","","","","","94.05 |  0","-3.65 |  3.74145159298678e-11","","-3.49 |  3.45057316053499e-10","","59.05 |  0","41.13 |  0","1.25 |  1.27651614150328","4.26 |  0","3.08 |  8.37793390218167e-08","1.01 |  4.53821910164429","","","","","","","","","","-1.54 |  0.217062431558857","2.17 |  0.00157856374343179","","","","","","","","","","1.07 |  3.36952983685777","","","","1.57 |  0.179575163814882","","","1.61 |  0.136147090704508","3.01 |  2.00875982514503e-07"
"kw_avg_min","","","","","","","","","","","","","","","","","","","","","","-6.3 |  0","-10.69 |  0","-12.91 |  0","-2.13 |  0.00223086031523323","54.57 |  0","38.43 |  0","1.24 |  1.37002011813527","3.3 |  4.67843541684942e-09","2.57 |  2.97148238681544e-05","","","","","","","","","2.35 |  0.00028787105770256","","-3.19 |  2.17728723939103e-08","","","2.19 |  0.00125506306498657","2.68 |  9.7621630112954e-06","3.3 |  4.82343054386547e-09","","2.64 |  1.41751948401492e-05","-1.62 |  0.121416869707858","1.92 |  0.0129552147428047","","2.26 |  0.000669848157697217","","","","1.2 |  1.72221407799871","1.19 |  1.78766220541786","","1.22 |  1.54323234886067","3.04 |  1.40245859370225e-07"
"kw_min_max","","","","","","","","","","","","","","","","","","","","","","","6.59 |  0","41.15 |  0","35.31 |  0","2.84 |  1.56407014006987e-06","17.22 |  0","1.66 |  0.0963686893803661","2.44 |  0.000123515724403944","2.28 |  0.00057391449412858","-1.42 |  0.471162732032848","","","","","","","","5.15 |  0","-1.35 |  0.716547973241433","-5.71 |  0","7.73 |  0","-5.98 |  0","-1.82 |  0.0289756623327975","-1.45 |  0.399636256454161","-1.13 |  2.38957667443285","","-2.96 |  3.56430440717759e-07","-1.01 |  4.41545370996117","-1.07 |  3.36257678063023","","-2.17 |  0.00153555955040297","","","","2.25 |  0.000725436053716777","","-1.11 |  2.75658163880652","2.12 |  0.00246227398772447",""
"kw_max_max","","","","","","","","","","","","","","","","","","","","","","","","56.34 |  0","15.87 |  0","9.27 |  0","22.7 |  0","3.18 |  2.34748442906607e-08","4.53 |  0","4.63 |  0","","","-1.09 |  3.01220341402542","","","1.64 |  0.110755376770832","","1.35 |  0.701206595855597","-3.03 |  1.56765578296358e-07","","7.2 |  0","1.05 |  3.70516799121572","-5.01 |  0","-4.09 |  4.44089209850063e-14","-8.45 |  0","-10.74 |  0","","-8.93 |  0","5.05 |  0","-4.43 |  0","-2.42 |  0.000149694903672781","-2 |  0.00687606642584271","-1.86 |  0.0212617014302197","-5.47 |  0","2.85 |  1.34523063799463e-06","","-2.98 |  3.05111758081011e-07","-1.05 |  3.67256210196722","",""
"kw_avg_max","","","","","","","","","","","","","","","","","","","","","","","","","40.77 |  0","13.95 |  0","42.73 |  0","5.33 |  0","9.04 |  0","8.7 |  0","","","","","","-1.14 |  2.3293939869768","-2.94 |  4.68585392709997e-07","-3.02 |  1.70562941548269e-07","11.52 |  0","-7.96 |  0","-11.99 |  0","29.6 |  0","-22.95 |  0","-6.41 |  0","-8.54 |  0","-11.06 |  0","","-15.29 |  0","","-6.84 |  0","","-9.8 |  0","-2.15 |  0.00188485543799466","1.43 |  0.452567014575411","-2.3 |  0.000477727355074897","4.72 |  0","-1.07 |  3.29225491370082","-1.51 |  0.264859761873293","3.52 |  2.41517916776957e-10","4.47 |  0"
"kw_min_avg","","","","","","","","","","","","","","","","","","","","","","","","","","9.3 |  0","45.16 |  0","3.54 |  1.70330416437992e-10","5.27 |  0","5.24 |  0","-1.67 |  0.0864862329370553","","","","","3.38 |  1.57238666531612e-09","2.66 |  1.12196083978944e-05","4.42 |  0","","-1.28 |  1.05616255471339","-12.51 |  0","18.12 |  0","-5.63 |  0","1.16 |  2.13884125915651","","","1.71 |  0.064734008834888","-5.98 |  0","-1.07 |  3.37245890915643","0.99 |  4.84007101071589","1.59 |  0.156264505940529","-1.22 |  1.52914779184268","-2 |  0.00664460438488668","","","4.53 |  0","2.5 |  6.59553083703912e-05","-1.68 |  0.0802792903562555","5.48 |  0","3.96 |  3.33066907387547e-13"
"kw_max_avg","","","","","","","","","","","","","","","","","","","","","","","","","","","81.19 |  0","8.06 |  0","18.68 |  0","16.04 |  0","","","","","","1.46 |  0.354949936819171","1.29 |  1.01299462891715","2.02 |  0.00593382308751167","-1.57 |  0.173315852625322","","-10.13 |  0","19.74 |  0","-8.71 |  0","3.87 |  1.19904086659517e-12","0.99 |  4.95301997575599","","1.34 |  0.756735229097849","-3.85 |  1.84297022087776e-12","","3.06 |  1.04522945854058e-07","2.11 |  0.00272043707074676","","-4.76 |  0","-2.4 |  0.000178333254297058","-2.42 |  0.000148989960901957","4.99 |  0","1.89 |  0.0161186980634387","-1.24 |  1.33534969389419","5.16 |  0","6.43 |  0"
"kw_avg_avg","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.99 |  0","18.32 |  0","16.86 |  0","-2.05 |  0.00429204786920323","","-1.41 |  0.513565473641497","","","3.11 |  5.76378944572298e-08","3 |  2.41471531658988e-07","4.47 |  0","-3.71 |  1.41442413337245e-11","","-27.17 |  0","43.61 |  0","-15.35 |  0","6.55 |  0","1.42 |  0.463962328514755","","2.93 |  5.46468004181122e-07","-10.08 |  0","-3.02 |  1.82547132965283e-07","4.37 |  0","5 |  0","","-7.28 |  0","-2.03 |  0.00551249758600214","-4.67 |  0","9.78 |  0","3.57 |  1.19637633133607e-10","-2.39 |  0.000201096503094078","9.87 |  0","11.04 |  0"
"self_reference_min_shares","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.05 |  0","81.89 |  0","","","","","","","","","","-1.27 |  1.17365890776959","-3.92 |  5.99520433297585e-13","3.56 |  1.25144339335748e-10","","5.69 |  0","","","1.31 |  0.920596133128293","2.11 |  0.00276874331206489","1.31 |  0.904197404892493","3.38 |  1.66102687160219e-09","2.91 |  6.81546841185821e-07","","-4.01 |  1.33226762955019e-13","-1.14 |  2.33357495777691","-4.67 |  0","","","","","5.6 |  0"
"self_reference_max_shares","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.35 |  0","","","","","","","","","1.38 |  0.587085253991892","-2.07 |  0.00389397166284944","-4.44 |  0","4.36 |  0","","6.44 |  0","","1.98 |  0.00804513808709828","2.12 |  0.00235938405981351","2.6 |  2.19620196251213e-05","1.63 |  0.119258369955877","4.24 |  0","","3.99 |  1.99840144432528e-13","-5.38 |  0","-4.71 |  0","-2.26 |  0.000706229673386183","1.38 |  0.617105865513934","","","","4.71 |  0"
"self_reference_avg_sharess","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.77 |  0.0427291757467696","-4.88 |  0","4.71 |  0","","7.11 |  0","","0.99 |  4.8504771191388","2.1 |  0.00299056276580334","2.57 |  3.01566893234906e-05","1.9 |  0.0150683455027334","4.39 |  0","1.84 |  0.0244036956091875","2.26 |  0.000703113229838515","-5.41 |  0","-2.91 |  7.22759585514154e-07","-4.37 |  0","1.02 |  4.27726437498328","","","","5.78 |  0"
"weekday_is_monday","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-21.51 |  0","-21.59 |  0","-21.29 |  0","-18.42 |  0","-11.54 |  0","-12.24 |  0","-17.44 |  0","","2.4 |  0.000182045775187767","-1.57 |  0.179536251553092","","","","","","","","","","","","","","","","-1 |  4.54564700551103","","-1.03 |  4.0636734984755",""
"weekday_is_tuesday","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-23 |  0","-22.68 |  0","-19.62 |  0","-12.29 |  0","-13.04 |  0","-18.58 |  0","","-1.11 |  2.69788061853435","","","1.54 |  0.212378825796078","","","","-1.17 |  1.93381539138993","1.07 |  3.39110555389452","-1.34 |  0.782379975699121","-1.38 |  0.610467790768565","","","1.14 |  2.3275659415577","1.33 |  0.811320943514171","","","","1.16 |  2.10890874670431","",""
"weekday_is_wednesday","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-22.76 |  0","-19.69 |  0","-12.34 |  0","-13.08 |  0","-18.65 |  0","1.33 |  0.831602041134616","","","-1.33 |  0.809319428146482","","","","","-1.62 |  0.124336557261695","","-1.09 |  2.95765180451264","","","-1.2 |  1.73164222918119","","1.21 |  1.62274596264016","","-1.08 |  3.11339251626326","-1.38 |  0.583965783780815","","-1.2 |  1.69833361755649",""
"weekday_is_thursday","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-19.42 |  0","-12.17 |  0","-12.9 |  0","-18.39 |  0","1.93 |  0.0123321277961885","","","","","","","","","","","","","-1.08 |  3.0875437371586","","","","","","","",""
"weekday_is_friday","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10.53 |  0","-11.16 |  0","-15.91 |  0","-1.58 |  0.165191853570557","","1.94 |  0.0111555374181282","1.17 |  1.95769455616719","-1.15 |  2.24111371759839","1.05 |  3.6582539115307","-1.45 |  0.380238732174187","-1.55 |  0.200596517133045","1.34 |  0.74247872908626","-1.43 |  0.427676227423879","2.05 |  0.00448775961134906","","1.42 |  0.46741522457614","-1.06 |  3.54534627277363","","","-1.24 |  1.36879388632054","","","","",""
"weekday_is_saturday","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-6.99 |  0","66.17 |  0","-1.97 |  0.00901647755537915","","","","1.59 |  0.154232514775576","1.51 |  0.261785072981047","1.46 |  0.364684311176022","2.27 |  0.000629508609328866","","","","1.25 |  1.29031117373692","-1.95 |  0.00991649594577204","2.6 |  2.29982850319388e-05","-1.55 |  0.20565051052035","-2.97 |  3.52215767662756e-07","","","2.52 |  5.41609814330712e-05","-1.99 |  0.00713670972194436","1.55 |  0.207808751457472","1.51 |  0.267268501666496"
